Date,Data_Type,Monthly_NDVI,SPI_3M,Rain3mo,SPI_Forecast,NDVI_Forecast
9/30/2012,Observed,0.3958,-0.25784979,561.44,,
10/31/2012,Observed,0.59535,0.006626054,606.23,,
11/30/2012,Observed,0.5696,0.605551588,637.08,,
12/31/2012,Observed,0.5644,-0.19743252,353.42,,
1/31/2013,Observed,0.7396,-0.381830656,137.18,,
2/28/2013,Observed,0.67805,-0.383356392,34.14,,
3/31/2013,Observed,0.34085,-0.106694883,25,,
4/30/2013,Observed,0.4812,0.132393997,63.71,,
5/31/2013,Observed,0.55135,-0.717763485,146.84,,
6/30/2013,Observed,0.3426,-0.556070741,339.65,,
7/31/2013,Observed,0.39935,-1.0260809,406.88,,
8/31/2013,Observed,0.55405,-0.854809714,450.27,,
9/30/2013,Observed,0.49345,-1.391023022,394.83,,
10/31/2013,Observed,0.4745,-1.072637402,451.34,,
11/30/2013,Observed,0.51025,-0.999207148,421.63,,
12/31/2013,Observed,0.49285,-0.770818739,293.76,,
1/31/2014,Observed,0.6968,-0.72479793,117.52,,
2/28/2014,Observed,0.7023,-1.302506022,12.27,,
3/31/2014,Observed,0.5637,-1.451644517,2.74,,
4/30/2014,Observed,0.45175,-0.81968461,19.73,,
5/31/2014,Observed,0.60755,-1.564472977,85.19,,
6/30/2014,Observed,0.6587,-1.16020426,263.03,,
7/31/2014,Observed,0.47555,-0.832124306,438.69,,
8/31/2014,Observed,0.5176,-0.739362224,469.98,,
9/30/2014,Observed,0.44635,-1.274912338,410.09,,
10/31/2014,Observed,0.4329,-1.746420388,369.8,,
11/30/2014,Observed,0.421,-1.473932936,368.96,,
12/31/2014,Observed,0.60625,-0.933655574,278.16,,
1/31/2015,Observed,0.7364,-0.520332982,128.99,,
2/28/2015,Observed,0.6623,-0.406505301,33.38,,
3/31/2015,Observed,0.50185,-1.156990347,4.93,,
4/30/2015,Observed,0.45515,-1.124291753,12.37,,
5/31/2015,Observed,0.50775,-1.891124312,67.39,,
6/30/2015,Observed,0.56815,-1.130720063,266.46,,
7/31/2015,Observed,0.58045,-1.100560945,395.1,,
8/31/2015,Observed,0.53665,-0.70928651,475.21,,
9/30/2015,Observed,0.5128,-0.921726387,459,,
10/31/2015,Observed,0.5246,-0.887404131,475.75,,
11/30/2015,Observed,0.45905,-1.013097238,420.02,,
12/31/2015,Observed,0.6509,-0.894374181,281.87,,
1/31/2016,Observed,0.75835,-0.575376639,125.83,,
2/29/2016,Observed,0.65395,-0.038239374,46.95,,
3/31/2016,Observed,0.495,-1.583612767,2.06,,
4/30/2016,Observed,0.52905,-2.102745166,1.86,,
5/31/2016,Observed,0.507,0.025219761,222.04,,
6/30/2016,Observed,0.6046,-0.424473928,358.16,,
7/31/2016,Observed,0.54315,-0.478446935,501.01,,
8/31/2016,Observed,0.37725,-1.36268628,370.29,,
9/30/2016,Observed,0.45115,-1.465511519,385.25,,
10/31/2016,Observed,0.5033,-0.674715102,504.87,,
11/30/2016,Observed,0.5247,0.148120228,569.56,,
12/31/2016,Observed,0.43155,1.025670209,506.66,,
1/31/2017,Observed,0.67415,1.452150962,280.31,,
2/28/2017,Observed,0.74955,1.544740532,146.79,,
3/31/2017,Observed,0.5596,0.977473894,77.39,,
4/30/2017,Observed,0.50845,0.536289167,94.47,,
5/31/2017,Observed,0.33215,0.213302665,244.53,,
6/30/2017,Observed,0.66315,-0.524139653,344.08,,
7/31/2017,Observed,0.3078,-0.690487528,462.97,,
8/31/2017,Observed,0.6061,-0.715880242,474.06,,
9/30/2017,Observed,0.597,-0.553953901,514.02,,
10/31/2017,Observed,0.4415,0.117210886,623.87,,
11/30/2017,Observed,0.50435,0.125002189,566.28,,
12/31/2017,Observed,0.4271,0.86522322,484.46,,
1/31/2018,Observed,0.5406,1.330476122,268.7,,
2/28/2018,Observed,0.76885,1.538848528,146.28,,
3/31/2018,Observed,0.64535,1.20539877,93.59,,
4/30/2018,Observed,0.5524,0.050561887,58.44,,
5/31/2018,Observed,0.5817,0.191268348,241.82,,
6/30/2018,Observed,0.63795,0.79252767,562.43,,
7/31/2018,Observed,0.63835,1.157125316,867,,
8/31/2018,Observed,0.462,1.132952203,875.49,,
9/30/2018,Observed,0.5421,0.814175281,757.47,,
10/31/2018,Observed,0.5214,-0.046917256,597.81,,
11/30/2018,Observed,0.5444,-0.544621211,476.67,,
12/31/2018,Observed,0.697,-0.556673175,315.17,,
1/31/2019,Observed,0.79215,0.202887264,175.64,,
2/28/2019,Observed,0.68895,1.017395668,105.42,,
3/31/2019,Observed,0.5025,0.835252584,68.25,,
4/30/2019,Observed,0.53445,0.135256401,63.9,,
5/31/2019,Observed,0.40185,0.687899742,307.88,,
6/30/2019,Observed,0.62895,1.554810973,722.74,,
7/31/2019,Observed,0.66375,1.4254195,940.02,,
8/31/2019,Observed,0.5872,1.480439458,969.7,,
9/30/2019,Observed,0.5506,0.877681773,770.32,,
10/31/2019,Observed,0.5876,0.18211004,634.38,,
11/30/2019,Observed,0.58685,-0.712980583,455.75,,
12/31/2019,Observed,0.67635,-1.696451846,212.62,,
1/31/2020,Observed,0.7753,-1.067394471,99.91,,
2/29/2020,Observed,0.6705,-2.321929361,2.68,,
3/31/2020,Observed,0.52775,-0.376975939,17.49,,
4/30/2020,Observed,0.5613,0.249061302,71.77,,
5/31/2020,Observed,0.6007,-0.145936631,202.82,,
6/30/2020,Observed,0.4692,3.194472937,1159.21,,
7/31/2020,Observed,0.69705,2.717776347,1346.66,,
8/31/2020,Observed,0.692,2.98134343,1450.33,,
9/30/2020,Observed,0.60745,1.383460971,877.77,,
10/31/2020,Observed,0.5281,2.688730619,1134.19,,
11/30/2020,Observed,0.5425,2.647262208,1002.09,,
12/31/2020,Observed,0.4695,2.095032429,671.59,,
1/31/2021,Observed,0.71775,0.385476764,188.98,,
2/28/2021,Observed,0.68355,0.823993339,92.36,,
3/31/2021,Observed,0.564,-0.098443415,25.26,,
4/30/2021,Observed,0.62635,1.155163604,158.22,,
5/31/2021,Observed,0.4841,1.753167095,486.64,,
6/30/2021,Observed,0.62905,1.450498845,699.26,,
7/31/2021,Observed,0.61435,1.441507017,944.52,,
8/31/2021,Observed,0.5792,1.264373683,910.39,,
9/30/2021,Observed,0.6264,2.034513226,1029.75,,
10/31/2021,Observed,0.5598,1.788782957,933.07,,
11/30/2021,Observed,0.50295,1.784082903,834.74,,
12/31/2021,Observed,0.6167,1.078554537,514.12,,
1/31/2022,Observed,0.6791,0.742718581,216.98,,
2/28/2022,Observed,0.7359,-0.637815316,26.43,,
3/31/2022,Observed,0.57845,1.935857239,158.99,,
4/30/2022,Observed,0.57915,2.109181807,299.94,,
5/31/2022,Observed,0.63255,2.341299822,608.33,,
6/30/2022,Observed,0.46395,1.430387009,694.79,,
7/31/2022,Observed,0.58465,1.539640353,972.27,,
8/31/2022,Observed,0.67,1.335434793,929.63,,
9/30/2022,Observed,0.402,1.719778221,954.33,,
10/31/2022,Observed,0.2364,0.959322424,769.48,,
11/30/2022,Observed,0.442,0.895377189,682.48,,
12/31/2022,Observed,0.54225,0.903739209,489.73,,
1/31/2023,Observed,0.7689,1.457834324,280.86,,
2/28/2023,Observed,0.7,0.828626617,92.66,,
3/31/2023,Forecast,,,,0.715008561,0.540242527
4/30/2023,Forecast,,,,0.412296937,0.542217122
5/31/2023,Forecast,,,,0.297090188,0.514570832
