Date,Monthly_NDVI
6/30/2015,0.56815
7/31/2015,0.58045
8/31/2015,0.53665
9/30/2015,0.5128
10/31/2015,0.5246
11/30/2015,0.45905
12/31/2015,0.6509
1/31/2016,0.75835
2/29/2016,0.65395
3/31/2016,0.495
4/30/2016,0.52905
5/31/2016,0.507
6/30/2016,0.6046
7/31/2016,0.54315
8/31/2016,0.37725
9/30/2016,0.45115
10/31/2016,0.5033
11/30/2016,0.5247
12/31/2016,0.43155
1/31/2017,0.67415
2/28/2017,0.74955
3/31/2017,0.5596
4/30/2017,0.50845
5/31/2017,0.33215
6/30/2017,0.66315
7/31/2017,0.3078
8/31/2017,0.6061
9/30/2017,0.597
10/31/2017,0.4415
11/30/2017,0.50435
12/31/2017,0.4271
1/31/2018,0.5406
2/28/2018,0.76885
3/31/2018,0.64535
4/30/2018,0.5524
5/31/2018,0.5817
6/30/2018,0.63795
7/31/2018,0.63835
8/31/2018,0.462
9/30/2018,0.5421
10/31/2018,0.5214
11/30/2018,0.5444
12/31/2018,0.697
1/31/2019,0.79215
2/28/2019,0.68895
3/31/2019,0.5025
4/30/2019,0.53445
5/31/2019,0.40185
6/30/2019,0.62895
7/31/2019,0.66375
8/31/2019,0.5872
9/30/2019,0.5506
10/31/2019,0.5876
11/30/2019,0.58685
12/31/2019,0.67635
1/31/2020,0.7753
2/29/2020,0.6705
3/31/2020,0.52775
4/30/2020,0.5613
5/31/2020,0.6007
6/30/2020,0.4692
7/31/2020,0.69705
8/31/2020,0.692
9/30/2020,0.60745
10/31/2020,0.5281
11/30/2020,0.5425
12/31/2020,0.4695
1/31/2021,0.71775
2/28/2021,0.68355
3/31/2021,0.564
4/30/2021,0.62635
5/31/2021,0.4841
6/30/2021,0.62905
7/31/2021,0.61435
8/31/2021,0.5792
9/30/2021,0.6264
10/31/2021,0.5598
11/30/2021,0.50295
12/31/2021,0.6167
1/31/2022,0.6791
2/28/2022,0.7359
3/31/2022,0.57845
4/30/2022,0.57915
5/31/2022,0.63255
6/30/2022,0.46395
7/31/2022,0.58465
8/31/2022,0.67
9/30/2022,0.402
10/31/2022,0.2364
11/30/2022,0.442
12/31/2022,0.54225
1/31/2023,0.7689
2/28/2023,0.7
