Date,Monthly_NDVI,Rain_month,Rain3mo
5/31/2008,0.38565,170.4,267.89
6/30/2008,0.64305,136,370.56
7/31/2008,0.54525,199.75,506.15
8/31/2008,0.48035,214.78,550.53
9/30/2008,0.5723,191.54,606.07
10/31/2008,0.33975,155.05,561.37
11/30/2008,0.6311,147.17,493.76
12/31/2008,0.59545,49.86,352.08
1/31/2009,0.59595,3.92,3.92
2/28/2009,0.62595,11.07,11.07
3/31/2009,0.6201,20.69,35.68
4/30/2009,0.63405,121.38,153.14
5/31/2009,0.58325,210.21,352.28
6/30/2009,0.60755,95.85,427.44
7/31/2009,0.34555,152.94,459
8/31/2009,0.55405,192.02,440.81
9/30/2009,0.5253,224.66,569.62
10/31/2009,0.7503,161.97,578.65
11/30/2009,0.5566,83.1,469.73
12/31/2009,0.56075,22.04,267.11
1/31/2010,0.6295,24.37,24.37
2/28/2010,0.6142,0.01,0.01
3/31/2010,0.52895,11.93,36.31
4/30/2010,0.55675,6.54,18.48
5/31/2010,0.3238,35.98,54.45
6/30/2010,0.61515,167.49,210.01
7/31/2010,0.607,188.05,391.52
8/31/2010,0.5756,228.68,584.22
9/30/2010,0.40285,179.92,596.65
10/31/2010,0.6293,328.65,737.25
11/30/2010,0.60185,195.4,703.97
12/31/2010,0.562,40.97,565.02
1/31/2011,0.65915,4.89,4.89
2/28/2011,0.6208,0.03,0.03
3/31/2011,0.5516,37.95,42.87
4/30/2011,0.51795,76.78,114.76
5/31/2011,0.4014,138.85,253.58
6/30/2011,0.4937,180.39,396.02
7/31/2011,0.59025,160.04,479.28
8/31/2011,0.3033,210.81,551.24
9/30/2011,0.36275,177.15,548
10/31/2011,0.4062,170.53,558.49
11/30/2011,0.4806,185.38,533.06
12/31/2011,0.5166,17.21,373.12
1/31/2012,0.545,21.36,21.36
2/29/2012,0.65185,67.29,67.29
3/31/2012,0.6004,52.01,140.66
4/30/2012,0.52475,110.85,230.15
5/31/2012,0.54335,155.98,318.84
6/30/2012,0.5773,138.3,405.13
7/31/2012,0.6035,186.49,480.77
8/31/2012,0.6388,80.64,405.43
9/30/2012,0.3958,294.31,561.44
10/31/2012,0.59535,231.28,606.23
11/30/2012,0.5696,111.49,637.08
12/31/2012,0.5644,10.65,353.42
1/31/2013,0.7396,15.04,15.04
2/28/2013,0.67805,8.45,8.45
3/31/2013,0.34085,1.51,25
4/30/2013,0.4812,53.75,63.71
5/31/2013,0.55135,91.58,146.84
6/30/2013,0.3426,194.32,339.65
7/31/2013,0.39935,120.98,406.88
8/31/2013,0.55405,134.97,450.27
9/30/2013,0.49345,138.88,394.83
10/31/2013,0.4745,177.49,451.34
11/30/2013,0.51025,105.26,421.63
12/31/2013,0.49285,11.01,293.76
1/31/2014,0.6968,1.25,1.25
2/28/2014,0.7023,0.01,0.01
3/31/2014,0.5637,1.48,2.74
4/30/2014,0.45175,18.24,19.73
5/31/2014,0.60755,65.47,85.19
6/30/2014,0.6587,179.32,263.03
7/31/2014,0.47555,193.9,438.69
8/31/2014,0.5176,96.76,469.98
9/30/2014,0.44635,119.43,410.09
10/31/2014,0.4329,153.61,369.8
11/30/2014,0.421,95.92,368.96
12/31/2014,0.60625,28.63,278.16
1/31/2015,0.7364,4.44,4.44
2/28/2015,0.6623,0.31,0.31
3/31/2015,0.50185,0.18,4.93
4/30/2015,0.45515,11.88,12.37
5/31/2015,0.50775,55.33,67.39
6/30/2015,0.56815,199.25,266.46
7/31/2015,0.58045,140.52,395.1
8/31/2015,0.53665,135.44,475.21
9/30/2015,0.5128,183.04,459
10/31/2015,0.5246,157.27,475.75
11/30/2015,0.45905,79.71,420.02
12/31/2015,0.6509,44.89,281.87
1/31/2016,0.75835,1.23,1.23
2/29/2016,0.65395,0.83,0.83
3/31/2016,0.495,0,2.06
4/30/2016,0.52905,1.03,1.86
5/31/2016,0.507,221.01,222.04
6/30/2016,0.6046,136.12,358.16
7/31/2016,0.54315,143.88,501.01
8/31/2016,0.37725,90.29,370.29
9/30/2016,0.45115,151.08,385.25
10/31/2016,0.5033,263.5,504.87
11/30/2016,0.5247,154.98,569.56
12/31/2016,0.43155,88.18,506.66
1/31/2017,0.67415,37.15,37.15
2/28/2017,0.74955,21.46,21.46
3/31/2017,0.5596,18.78,77.39
4/30/2017,0.50845,54.23,94.47
5/31/2017,0.33215,171.52,244.53
6/30/2017,0.66315,118.33,344.08
7/31/2017,0.3078,173.12,462.97
8/31/2017,0.6061,182.61,474.06
9/30/2017,0.597,158.29,514.02
10/31/2017,0.4415,282.97,623.87
11/30/2017,0.50435,125.02,566.28
12/31/2017,0.4271,76.47,484.46
1/31/2018,0.5406,67.21,67.21
2/28/2018,0.76885,2.6,2.6
3/31/2018,0.64535,23.78,93.59
4/30/2018,0.5524,32.06,58.44
5/31/2018,0.5817,185.98,241.82
6/30/2018,0.63795,344.39,562.43
7/31/2018,0.63835,336.63,867
8/31/2018,0.462,194.47,875.49
9/30/2018,0.5421,226.37,757.47
10/31/2018,0.5214,176.97,597.81
11/30/2018,0.5444,73.33,476.67
12/31/2018,0.697,64.87,315.17
1/31/2019,0.79215,37.44,37.44
2/28/2019,0.68895,3.11,3.11
3/31/2019,0.5025,27.7,68.25
4/30/2019,0.53445,33.09,63.9
5/31/2019,0.40185,247.09,307.88
6/30/2019,0.62895,442.56,722.74
7/31/2019,0.66375,250.37,940.02
8/31/2019,0.5872,276.77,969.7
9/30/2019,0.5506,243.18,770.32
10/31/2019,0.5876,114.43,634.38
11/30/2019,0.58685,98.14,455.75
12/31/2019,0.67635,0.05,212.62
1/31/2020,0.7753,1.72,1.72
2/29/2020,0.6705,0.91,0.91
3/31/2020,0.52775,14.86,17.49
4/30/2020,0.5613,56,71.77
5/31/2020,0.6007,131.96,202.82
6/30/2020,0.4692,971.25,1159.21
7/31/2020,0.69705,243.45,1346.66
8/31/2020,0.692,235.63,1450.33
9/30/2020,0.60745,398.69,877.77
10/31/2020,0.5281,499.87,1134.19
11/30/2020,0.5425,103.53,1002.09
12/31/2020,0.4695,68.19,671.59
1/31/2021,0.71775,17.26,17.26
2/28/2021,0.68355,6.91,6.91
3/31/2021,0.564,1.09,25.26
4/30/2021,0.62635,150.22,158.22
5/31/2021,0.4841,335.33,486.64
6/30/2021,0.62905,213.71,699.26
7/31/2021,0.61435,395.48,944.52
8/31/2021,0.5792,301.2,910.39
9/30/2021,0.6264,333.07,1029.75
10/31/2021,0.5598,298.8,933.07
11/30/2021,0.50295,202.87,834.74
12/31/2021,0.6167,12.45,514.12
1/31/2022,0.6791,1.66,1.66
2/28/2022,0.7359,12.32,12.32
3/31/2022,0.57845,145.01,158.99
4/30/2022,0.57915,142.61,299.94
5/31/2022,0.63255,320.71,608.33
6/30/2022,0.46395,231.47,694.79
7/31/2022,0.58465,420.09,972.27
8/31/2022,0.67,278.07,929.63
9/30/2022,0.402,256.17,954.33
10/31/2022,0.2364,235.24,769.48
11/30/2022,0.442,191.07,682.48
12/31/2022,0.54225,63.42,489.73
1/31/2023,0.7689,26.37,26.37
2/28/2023,0.7,2.87,2.87
